timestamp,Volts A-N,Volts B-C,Volts C-A,Watts 3-Ph total,VARs 3-Ph total,VAs 3-Ph total,Power Factor 3-Ph total,Frequency,Neutral Current,Watts Phase A,Watts Phase B,Watts Phase C,VARs Phase A,VARs Phase B,VARs Phase C,VAs Phase A,VAs Phase B,VAs Phase C,Power Factor Phase A,Power Factor Phase B,Power Factor Phase C,Symmetrical Component Magnitude 0 Seq,Symmetrical Component Magnitude + Seq,Symmetrical Component Magnitude - Seq
1563548407.5181878,121.0,242.956,242.833,-39241.387,11076.704,101570.0,0.395,60.087,382.018,-37808.5,25184.57,-26377.881,11245.779,17126.5,-17227.375,39628.75,30355.5,31521.109,0.972,-0.826,0.83,70.804,0.594,139.711
1563548411.5212817,121.0,242.931,242.811,-34795.77,11252.804,96808.0,0.371,60.013,374.034,-35418.5,25165.193,-24345.693,10857.262,17186.25,-16781.0,36914.25,30453.594,29651.346,0.974,-0.824,0.826,70.656,0.528,139.25
1563548415.523722,121.0,242.92,242.819,-34015.965,8720.831,96344.0,0.372,60.027,368.071,-35331.5,25006.502,-23539.428,9324.874,17192.0,-17685.125,36796.25,30342.758,29496.346,0.966,-0.826,0.837,70.91,0.524,139.547
1563548419.521477,121.0,242.912,242.817,-33883.961,-8909.778,96033.5,0.352,60.233,254.042,-35394.0,25011.232,-23477.0,-9154.824,17096.875,-16852.125,36519.75,30333.268,28896.168,0.967,-0.827,0.81,70.404,0.404,139.547
1563548423.5311127,121.0,242.871,242.772,-33926.094,-8919.015,96141.0,0.354,60.018,376.09,-35452.5,25016.756,-23470.965,-9100.757,17150.5,-16814.625,36546.0,30333.938,28869.791,0.967,-0.828,0.81,70.392,0.555,139.445
1563548427.5368893,121.0,242.774,242.674,-32465.576,12910.98,94661.0,0.355,60.049,253.037,-33979.0,24030.785,-22401.459,11792.925,18491.25,-17281.75,35917.5,30274.891,28292.824,0.966,-0.827,0.811,70.427,0.527,139.945
1563548431.5387924,121.0,242.823,242.722,-32279.508,9008.63,84867.5,0.381,60.241,332.058,-32078.25,21027.732,-21489.496,9111.512,14570.938,-14699.875,33433.5,25615.809,25903.236,0.965,-0.821,0.827,70.546,0.552,139.227
1563548435.5424395,121.0,242.88,242.769,-34827.727,9332.641,87832.0,0.399,60.213,346.061,-34649.5,21245.305,-21260.945,9394.449,14585.875,-14629.0,36079.5,25708.947,25921.828,0.962,-0.824,0.827,70.07,0.508,139.539
1563548439.5441146,121.0,242.922,242.798,-32237.223,9130.295,84686.0,0.38,60.073,332.048,-31957.75,21084.084,-21366.693,9207.6,14528.5,-14647.75,33146.0,25712.303,25914.246,0.962,-0.82,0.827,70.595,0.52,139.008
1563548443.608124,121.0,242.966,242.847,-32362.391,9025.536,84940.5,0.38,60.179,332.03,-32113.25,20997.225,-21363.035,9144.441,14624.938,-14605.625,33236.0,25727.768,25923.551,0.962,-0.821,0.826,70.102,0.531,139.516
1563548447.55279,121.0,242.999,242.887,-32357.154,8962.742,84990.0,0.38,60.201,332.007,-31885.25,21104.832,-21346.146,9083.399,14621.125,-14606.875,33201.0,25708.682,25910.68,0.962,-0.822,0.826,70.639,0.571,139.156
1563548451.5607603,121.0,242.998,242.89,-32359.479,8983.895,84967.5,0.38,59.965,333.986,-32038.25,21003.26,-21471.496,9026.012,14612.062,-14601.25,33153.5,25720.16,25905.293,0.962,-0.822,0.826,70.625,0.492,139.734
