timestamp,Frequency,VAs Phase C,Symmetrical Component Magnitude - Seq
1563536451.2896433,59.759,17343.965,139.008
1563536455.29123,59.792,15236.024,140.859
1563536459.3029706,59.89,15255.457,139.109
1563536463.3204195,59.798,15270.869,139.406
1563536467.3331013,59.911,15232.835,139.852
1563536471.3128176,59.8,15270.359,139.641
1563536475.364954,59.776,15195.342,139.617
1563536479.3304198,59.844,15170.368,140.672
1563536483.3541338,59.913,15173.123,140.539
1563536487.3445568,59.942,15082.544,139.086
1563536491.3436654,59.798,13995.882,139.023
1563536495.3694873,59.926,13950.715,140.867
1563536499.3545644,59.832,13982.787,140.523
1563536503.4504263,59.85,13999.65,140.812
1563536507.4667428,59.8,13954.504,140.961
1563536511.3834867,59.804,13968.797,140.695
1563536515.3831909,59.821,13955.741,140.43
1563536519.4433203,59.944,13955.2,139.094
1563536523.391668,59.833,14012.324,139.094
1563536527.4263794,59.785,14002.168,139.445
1563536531.3974278,60.187,13958.471,139.148
1563536535.4096906,60.157,13905.309,139.781
1563536539.4157054,60.215,14003.216,139.891
1563536543.4153786,60.013,13975.641,139.719
1563536547.4381998,60.173,13902.373,139.477
1563536551.4345677,59.966,13937.125,139.188
1563536555.4507356,59.836,13912.183,139.594
1563536559.4515774,60.177,13929.739,139.633
1563536563.587021,60.093,13936.914,139.086
1563536567.449618,60.194,13894.19,139.32
1563536571.4683893,60.042,13932.155,139.641
1563536575.4782965,60.209,13939.99,139.32
1563536579.47243,60.014,13914.801,139.68
1563536583.4825492,60.18,13932.018,139.141
1563536587.482189,60.17,13829.928,139.812
1563536591.5581985,60.129,13932.666,139.32
1563536595.506083,60.154,13840.062,139.078
1563536599.5510626,60.194,13831.361,139.398
1563536603.5030246,60.042,13851.645,139.227
1563536607.5370896,60.174,13940.031,139.461
1563536611.5211277,60.225,13940.475,139.617
1563536615.5395002,60.001,13850.246,140.18
1563536619.5412169,60.017,13902.357,140.945
1563536623.723524,60.225,13828.52,139.367
1563536627.5524132,60.014,13834.578,139.445
1563536631.547936,60.076,13941.65,139.844
1563536635.5518332,60.047,13908.997,139.883
1563536639.5524056,60.006,13851.672,139.039
1563536643.5794623,60.196,13905.026,139.25
1563536647.558832,60.141,13895.371,139.18
1563536651.56556,60.118,13834.953,139.32
1563536655.5802815,60.001,13834.758,139.562
1563536659.5825465,60.105,13746.984,139.625
1563536663.6027184,60.238,13742.352,139.445
1563536667.5961068,60.232,13680.296,139.438
1563536671.5958073,60.126,13682.468,139.117
1563536675.612653,59.919,13669.863,140.906
1563536679.611333,59.825,13738.095,139.242
1563536683.7192862,59.852,13632.877,139.094
1563536687.6150336,59.75,13666.02,139.922
1563536691.6269355,59.952,13670.565,139.07
1563536695.6183636,59.974,13679.106,139.469
1563536699.6278324,59.906,13633.657,139.305
1563536703.6390665,59.897,13757.882,139.078
1563536707.6454425,59.766,13728.39,139.719
1563536711.650213,60.006,13731.06,139.812
1563536715.6693726,60.116,13743.892,139.719
1563536719.667933,60.041,13696.535,139.133
1563536723.7730873,60.229,13732.858,139.141
1563536727.669452,60.023,13685.131,139.336
1563536731.678256,60.108,13669.482,139.711
1563536735.7092526,60.108,13638.899,139.227
1563536739.6898077,60.139,13685.341,139.312
1563536743.8540778,60.19,13672.01,139.18
1563536747.725755,60.056,13712.302,139.234
1563536751.7186248,60.032,13747.671,139.32
1563536755.7033217,60.147,13736.13,139.234
1563536759.7048357,60.208,13736.852,139.992
1563536763.7345023,60.11,13724.099,139.352
1563536767.7362208,60.039,13697.559,139.109
1563536771.7233315,60.214,13729.858,139.664
1563536775.7349646,60.164,13822.918,139.305
1563536779.7491949,60.023,13887.328,139.07
1563536783.7479692,60.063,13730.182,139.5
1563536787.8208995,60.247,13664.512,139.734
1563536791.8091323,60.108,13666.596,139.367
1563536795.7869768,60.177,13668.29,139.109
1563536799.7661679,60.115,13698.718,139.203
1563536803.9726107,60.055,13674.168,139.703
1563536807.767046,60.082,13671.489,140.602
1563536811.7980084,60.213,13632.892,139.617
1563536815.7971685,60.022,13696.83,139.289
1563536819.8147554,60.062,13637.623,139.266
1563536823.8278708,60.13,13700.509,139.227
1563536827.811278,60.225,13733.066,139.18
1563536831.822277,60.22,13641.501,139.922
1563536835.8507397,60.082,13634.83,139.078
1563536839.8571994,60.03,13732.716,140.641
1563536843.8704808,60.166,13759.296,140.094
1563536847.8626997,60.013,13731.09,139.602
1563536851.8598106,60.037,13699.171,139.828
1563536855.907315,60.128,13697.111,139.812
1563536859.9016888,60.2,13746.753,139.516
1563536863.987437,60.112,13746.444,139.164
1563536867.8987632,60.089,13757.659,139.359
1563536871.9061224,60.222,13791.703,139.344
1563536875.977981,60.164,13747.104,139.922
1563536879.948544,60.078,13726.824,139.852
1563536883.9352667,60.176,13711.533,139.633
1563536887.938169,60.213,13672.643,139.828
1563536891.9533927,60.134,13758.795,139.188
1563536895.957561,60.233,13635.277,139.68
1563536899.9898794,60.148,13675.068,139.172
1563536903.9854364,60.099,13697.257,139.836
1563536908.050808,60.075,13748.469,139.914
1563536912.0063696,60.086,13747.719,139.953
1563536916.0083084,60.076,13759.535,139.82
1563536920.0248668,60.096,13743.437,139.43
1563536924.1085982,60.187,13749.164,139.445
1563536928.1569695,60.024,13703.615,139.281
1563536932.0290954,60.118,13753.225,139.422
1563536936.0341594,60.068,13750.02,139.453
1563536940.1133468,60.04,13704.691,139.516
1563536944.0312726,60.124,13743.543,139.461
1563536948.0551705,60.066,13632.015,139.0
1563536952.0706446,60.017,14561.39,139.586
1563536956.1070392,60.138,19931.479,139.883
1563536960.0636911,60.164,16348.762,139.445
1563536964.0793364,60.234,16616.367,139.211
1563536968.1251318,60.188,20780.648,139.656
1563536972.111942,60.103,19173.848,139.875
1563536976.1031525,60.08,19367.799,139.969
1563536980.0838616,60.178,19499.762,139.102
1563536984.2830038,60.088,19487.453,139.82
1563536988.1006625,60.033,19537.016,139.398
1563536992.1121016,60.077,19578.404,139.492
1563536996.1483374,60.098,19470.555,139.195
1563537000.1154537,60.218,19578.258,139.273
1563537004.1767347,60.111,19657.768,139.312
1563537008.1182122,60.019,19624.109,139.711
1563537012.1637888,60.132,19505.355,139.031
1563537016.1721458,60.139,19542.656,139.461
1563537020.1560895,60.156,19559.684,139.93
1563537024.1553383,60.172,19596.965,139.742
1563537028.162899,60.248,19610.002,139.578
1563537032.1758006,60.179,19686.291,139.633
1563537036.1904397,60.243,19592.807,139.203
1563537040.2522376,60.045,19471.879,139.297
1563537044.4517167,60.061,19635.572,139.203
1563537048.2072196,60.08,19662.217,139.875
1563537052.247927,60.026,19701.854,139.656
1563537056.23934,60.071,19645.0,139.922
1563537060.2656753,60.115,19673.029,139.812
1563537064.2655635,60.15,19699.117,139.844
1563537068.2409449,60.1,19668.086,139.383
1563537072.238848,60.023,19684.414,139.273
1563537076.253392,60.201,19597.768,139.648
1563537080.2547803,60.2,19711.244,139.445
1563537084.2650235,60.167,19724.014,139.172
1563537088.2689831,60.072,19750.709,139.555
1563537092.2755044,60.012,19717.885,139.125
1563537096.3295076,60.045,19729.102,139.203
1563537100.3041222,60.156,19763.65,139.992
1563537104.449401,60.186,19725.258,139.945
1563537108.3250344,60.0,19765.953,139.312
1563537112.3153913,60.176,19783.32,139.367
1563537116.3210707,60.195,19771.924,139.055
1563537120.307455,60.201,19023.045,139.242
1563537124.3468072,60.038,18951.428,139.398
1563537128.3859222,60.102,19037.979,139.469
1563537132.3876708,60.176,18995.451,139.688
1563537136.3679113,60.039,19065.699,139.789
1563537140.3780396,60.136,19047.4,139.656
1563537144.4338074,60.235,18974.734,139.594
1563537148.4071393,60.009,19026.949,139.234
1563537152.4032009,60.005,18971.324,139.062
1563537156.4095855,60.14,18819.711,139.508
1563537160.4054868,59.873,18971.959,139.508
1563537164.784489,59.95,18970.355,139.688
1563537168.4714828,60.061,18947.584,139.93
1563537172.4299183,60.023,18971.193,139.305
1563537176.4416106,60.083,18932.529,139.812
1563537180.4511359,60.097,18927.955,139.266
1563537184.4777846,60.093,18927.164,139.938
1563537188.4573774,60.157,19044.438,139.391
1563537192.4629295,60.176,18850.729,139.18
1563537196.469239,60.017,18933.094,139.297
1563537200.4741569,60.118,18891.561,139.992
1563537204.490301,60.103,18940.391,139.945
1563537208.4908435,60.167,18917.969,139.742
1563537212.5109458,60.133,18884.098,139.609
1563537216.5038855,60.037,20774.848,139.617
1563537220.5500772,60.055,20713.492,139.719
1563537224.9616585,60.114,20657.523,139.719
1563537228.5496156,60.007,20621.625,139.016
1563537232.5648773,60.004,20630.293,139.43
1563537236.5713744,60.167,20824.328,139.398
1563537240.5613682,60.093,20808.93,139.734
1563537244.554883,60.13,20761.293,138.742
1563537248.6242914,60.231,20749.768,138.773
1563537252.5951962,60.223,20744.02,138.719
1563537256.5940125,60.105,20747.562,138.516
1563537260.612388,60.163,20829.516,138.148
1563537264.6261454,60.192,20807.283,138.188
1563537268.6226337,60.195,20748.887,138.078
1563537272.6377769,60.175,20740.957,138.828
1563537276.6397562,60.131,20813.645,138.359
1563537280.6591864,60.007,20741.805,138.25
1563537284.9626164,60.191,20857.795,138.141
1563537288.6651106,60.242,20838.453,138.523
1563537292.6903088,60.192,20762.822,138.391
1563537296.702663,60.223,20814.496,138.625
1563537300.7061431,60.201,21183.113,138.906
1563537304.707443,60.148,21006.086,138.289
1563537308.7289586,60.241,21017.461,139.5
1563537312.7227528,60.083,21230.732,139.367
1563537316.7848494,60.104,21077.014,139.719
1563537320.7398655,59.918,21013.684,139.305
1563537324.766045,59.813,21107.75,139.414
1563537328.7548094,59.952,21008.23,139.352
1563537332.8074384,59.854,21044.842,139.633
1563537336.7846029,59.765,21070.059,139.961
1563537340.7952259,59.924,21062.922,139.094
1563537344.9622688,59.794,21040.064,139.75
1563537348.820274,60.081,21337.967,139.273
1563537352.825592,60.171,21384.848,139.062
1563537356.828503,60.008,21546.832,139.789
1563537360.871788,60.224,21535.152,139.344
1563537364.8337207,60.094,21514.244,139.773
1563537368.9021807,60.095,21558.449,139.18
1563537372.8518174,60.247,21698.711,139.422
1563537376.8848803,60.011,21555.152,139.297
1563537380.858985,60.114,21614.371,139.352
1563537384.9773002,60.012,21548.02,139.703
1563537388.8779743,59.835,21517.945,139.977
1563537392.89545,59.878,21610.631,139.414
1563537396.9003403,59.918,21579.775,139.891
1563537400.9154916,59.982,22318.547,139.172
1563537405.127236,59.798,22321.719,139.773
1563537408.953265,59.793,22281.766,139.492
1563537412.980333,59.933,23406.896,139.422
1563537416.9778583,59.853,19234.492,139.453
1563537420.9841266,59.856,19217.58,139.367
1563537425.002999,59.912,19234.066,140.242
1563537429.0373518,59.931,19123.984,140.008
1563537432.9873238,59.956,19176.646,140.391
1563537437.0042748,59.862,19108.312,140.414
1563537441.018301,59.932,16775.248,140.406
1563537445.0161786,59.973,16867.262,140.547
1563537449.0398452,59.781,16870.053,140.555
1563537453.041093,59.833,16879.551,140.977
1563537457.0519326,60.009,16864.703,141.586
1563537461.0514126,60.034,16875.02,140.031
1563537465.299279,60.07,16895.5,140.617
1563537469.112594,60.208,16734.037,140.531
1563537473.0794284,60.137,16596.543,140.484
1563537477.0727203,60.078,16594.559,140.906
1563537481.0780702,60.079,16587.48,140.312
1563537485.0832074,60.012,16722.52,140.922
1563537489.1134562,60.211,16735.016,140.648
1563537493.101561,60.17,16838.137,140.305
1563537497.1114204,60.049,16980.393,140.484
1563537501.143293,60.083,16985.957,140.766
1563537505.1449492,60.158,16980.271,140.539
1563537509.1369486,60.168,16977.688,140.602
1563537513.147254,60.207,16983.365,140.359
1563537517.1498008,60.112,16975.16,140.836
1563537521.1813655,60.007,16975.254,140.492
1563537525.2993932,60.084,16983.738,140.641
1563537529.194913,60.004,16846.137,140.992
1563537533.1934695,60.015,16839.48,141.555
1563537537.2095547,59.944,23532.781,140.609
1563537541.2248387,59.966,22238.324,141.016
1563537545.2071729,59.999,22235.102,141.0
1563537549.2262344,59.758,22233.213,140.906
1563537553.2496798,59.998,22256.299,141.68
1563537557.3085709,59.956,22354.525,140.422
1563537561.2854466,59.851,22318.51,141.742
1563537565.2538664,59.853,22351.525,140.875
1563537569.2732477,59.897,22290.939,140.516
1563537573.348862,59.812,22399.508,140.203
1563537577.3029368,59.907,22344.549,140.406
1563537581.3072305,59.752,21454.111,141.719
1563537585.469815,59.817,21402.93,141.211
1563537589.3483303,59.807,21450.176,141.648
1563537593.305406,59.839,21449.643,141.477
1563537597.3208802,59.961,21463.752,141.961
